Instrument,Qty,Price,LTP,Cur. Value,P&L,Net Chg.,Day Chg.
HDFCSML250,549,181.99,185.17,101658.32999999999,1745.82,1.75%,0.00%
NIFTYBEES,1455,274.68,267.14,388688.69999999995,-10970.70,-2.75%,0.00%
BANKBEES,333,599.94,586.35,195254.55000000002,-4525.47,-2.27%,0.00%
LTGILTBEES,13377,29.91,29.75,397965.75,-2140.32,-0.53%,0.00%
GILT5YBEES,1516,65.93,66.16,100298.56,348.68,0.35%,0.00%
LIQUIDBEES,301.759,1000,1000,301759,0.00,0.00%,0.00%
JUNIORBEES,128,779.12,781.96,100090.88,363.52,0.36%,0.00%
MIDCAPETF,8445,23.68,23.39,197528.55000000002,-2449.05,-1.22%,0.00%
